country,total_treaties,degree
Chile,36,26
Jordan,33,21
Turkey,32,31
Mexico,31,19
United Kingdom,30,30
Cuba,25,13
Peru,24,19
Argentina,23,13
Panama,21,17
Colombia,20,14
Israel,20,18
Moldova,20,19
Ukraine,20,19
Australia,19,15
Canada,19,16
China,19,16
Brazil,18,11
Egypt,18,11
Iraq,18,13
Morocco,18,14
Venezuela,18,14
Singapore,16,15
South Korea,16,16
Tunisia,16,15
United States,16,15
Uruguay,16,8
India,15,10
Japan,15,15
North Macedonia,15,12
Russia,15,13
Bulgaria,14,14
Estonia,14,14
Syria,14,9
Ecuador,13,9
Lithuania,13,13
Serbia,13,12
Bosnia & Herzegovina,12,10
Costa Rica,12,10
Georgia,12,12
Guatemala,12,11
Latvia,12,12
Lebanon,12,9
Slovenia,12,12
Armenia,11,11
Belarus,11,9
Croatia,11,10
El Salvador,11,9
Faroe Islands,11,9
Kazakhstan,11,11
New Zealand,11,9
Albania,10,10
Czechia,10,10
Finland,10,10
Saudi Arabia,10,7
Azerbaijan,9,9
Kyrgyzstan,9,9
Paraguay,9,9
Romania,9,9
Slovakia,9,9
Uzbekistan,9,9
Zimbabwe,9,5
Bolivia,8,7
Hungary,8,8
Pakistan,8,6
United Arab Emirates,8,7
Honduras,7,6
Malaysia,7,7
Nicaragua,7,6
Poland,7,7
Switzerland,7,7
Tajikistan,7,7
Thailand,7,7
Turkmenistan,7,7
Algeria,6,4
Hong Kong SAR China,6,6
Kosovo,6,6
Libya,6,5
Sudan,6,4
Sweden,6,5
Taiwan,6,6
Bhutan,5,1
Indonesia,5,5
Kuwait,5,4
Malawi,5,3
Mauritius,5,5
South Africa,5,2
Vietnam,5,5
Iceland,4,3
Iran,4,4
Norway,4,4
Sri Lanka,4,4
Bahrain,3,3
Fiji,3,3
Guyana,3,3
Palestinian Territories,3,3
Papua New Guinea,3,2
Trinidad & Tobago,3,3
Dominican Republic,2,2
France,2,2
Ghana,2,2
Greenland,2,2
Laos,2,2
Macao SAR China,2,2
Mauritania,2,2
Montenegro,2,2
Mozambique,2,2
Namibia,2,1
Nepal,2,1
Qatar,2,2
Senegal,2,2
Afghanistan,1,1
Austria,1,1
Belize,1,1
Botswana,1,1
Brunei,1,1
Burkina Faso,1,1
Cambodia,1,1
Cameroon,1,1
Chad,1,1
Cook Islands,1,1
Côte d’Ivoire,1,1
Germany,1,1
Guinea,1,1
Ireland,1,1
Kenya,1,1
Liberia,1,1
Liechtenstein,1,1
Madagascar,1,1
Maldives,1,1
Monaco,1,1
Mongolia,1,1
Niger,1,1
Oman,1,1
Philippines,1,1
Portugal,1,1
Sierra Leone,1,1
Spain,1,1
Suriname,1,1
Tonga,1,1
Yemen,1,1
